matrix_id,matrix_label,anchor_source_id,anchor_kind,completeness_claim,scope_definition,blocker,last_reviewed_at,item_id,person_id,anchor_entry,anchor_passage_ids,original_date_text,summary,coverage_status,appointment_ids,evidence_status,gap_reason,dataset_version,data_license,citation
su-shi-kong-fanli-authoritative,苏轼官履：孔凡礼年谱权威锚点,chs:source:kong-fanli-su-shi-nianpu,authoritative_chronology,blocked,目标分母是孔凡礼《苏轼年谱》全部相关除授、罢免、责降、量移和任职转换；在取得可合法逐条核对的全文前，不生成条目清单，也不声称完整。,已核书目与目录范围，但当前环境没有可合法全文检索的该书版本；网络转载本的授权与文本完整性无法确认。需要馆藏纸本、合法数据库访问或用户提供的可用文本后逐条录入。,2026-07-13,,,,,,,,,,,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:fuchang-zhuabu,chs:person:su-shi,五年，调福昌主簿,chs:passage:song-shi-338-early-career-coverage,嘉祐五年,福昌主簿调任语句,gap,,reviewed,是否实际赴任、主簿制度版本和同期除授材料尚未核入。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:fengxiang,chs:person:su-shi,除大理评事、签书凤翔府判官,chs:passage:song-shi-338-fengxiang,,凤翔任命,partial,chs:appointment:su-shi-fengxiang,reviewed,精确日期、是否赴任起止和完整官衔需年谱与同期材料。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:dengwen-guyuan,chs:person:su-shi,治平二年，入判登闻鼓院,chs:passage:song-shi-338-early-career-coverage,治平二年,判登闻鼓院,gap,,reviewed,尚未建立登闻鼓院机构版本、职名用法和 appointment component。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:zhi-shiguan,chs:person:su-shi,得直史馆,chs:passage:song-shi-338-early-career-coverage,治平二年后,直史馆贴职,gap,,reviewed,贴职性质和授命时间需职官志与同期材料交叉核对。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:xining-panguan-gaoyuan,chs:person:su-shi,以判官告院,chs:passage:song-shi-338-xining-court-coverage,熙宁二年,熙宁还朝后的转录疑句,gap,,provisional,当前数字转录语义不明，须先与可靠点校本核字，禁止据疑文建任命。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:kaifeng-tuiguan,chs:person:su-shi,命权开封府推官,chs:passage:song-shi-338-xining-court-coverage,熙宁二年后,权开封府推官,gap,,reviewed,权任修饰、机构版本和实际任事起止尚未建模。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:hangzhou-tongpan,chs:person:su-shi,通判杭州,chs:passage:song-shi-338-hangzhou,熙宁四年上下文,杭州通判,partial,chs:appointment:su-shi-hangzhou-tongpan,reviewed,具体除授和任期起止待年谱。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:mizhou,chs:person:su-shi,徙知密州,chs:passage:song-shi-338-mizhou,,密州调任,partial,chs:appointment:su-shi-mizhou,reviewed,具体日期与实际任期待年谱。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
su-shi-song-shi-338-exhaustive,苏轼官履：《宋史》卷338任官语句完整对照,chs:source:song-shi,official_biography,exhaustive_for_anchor,人工通读《宋史》卷338苏轼传全文，按传文顺序枚举其中对苏轼本人的调、除、判、得、命权、通判、徙知、责授、移、复、召、迁、兼、拜、改、出知、量移、追赠等任官或制度身份语句。穷尽性只对这个数字转录锚点成立，不等于孔凡礼年谱定义的完整官履。,,2026-07-13,su-shi:song-shi:xuzhou,chs:person:su-shi,徙知徐州,chs:passage:song-shi-338-xuzhou,,徐州调任,partial,chs:appointment:su-shi-xuzhou,reviewed,实际任期和离任原因尚未形成 service episode。,0.3.1-research.1,CC BY 4.0；第三方短引文仍遵循各来源标注的权利和引用条件,除授项目组：《除授北宋文官制度研究种子集》，0.3.1-research.1，2026-07-13。
